Aircraft;Origin;Type;Variant;In service;Notes;Category;Wikipedia URL;Title
Beechcraft MC-12;United States;SIGINT /  surveillance;W;42;;Reconnaissance;https://en.wikipedia.org/wiki/Beechcraft_C-12_Huron;Beechcraft C-12 Huron
Boeing KC-135;United States;aerial refueling;KC-135R/T;397;;Tanker;https://en.wikipedia.org/wiki/Boeing_KC-135_Stratotanker;Boeing KC-135 Stratotanker
KC-10 Extender;United States;aerial refueling;;58;;Tanker;https://en.wikipedia.org/wiki/McDonnell_Douglas_KC-10_Extender;McDonnell Douglas KC-10 Extender
KC-46 Pegasus;United States;aerial refueling;;12;52 on order;Tanker;https://en.wikipedia.org/wiki/Boeing_KC-46_Pegasus;Boeing KC-46 Pegasus
Lockheed Martin KC-130;United States;aerial refueling / transport;H/J/P;60;39 are the KC-130J variant - 30 on order;Tanker;https://en.wikipedia.org/wiki/Lockheed_Martin_KC-130;Lockheed Martin KC-130
C-5 Galaxy;United States;strategic airlifter;C-5M;52;;Transport;https://en.wikipedia.org/wiki/Lockheed_C-5_Galaxy;Lockheed C-5 Galaxy
Boeing C-17;United States;strategic airlifter;;222;;Transport;https://en.wikipedia.org/wiki/Boeing_C-17_Globemaster_III;Boeing C-17 Globemaster III
C-130J Super Hercules;United States;tactical airlifter;C-130J;115;35 on order;Transport;https://en.wikipedia.org/wiki/C-130J;C-130J
C-130 Hercules;United States;transport;C-130H;196;ten are the LC-130 variant;Transport;https://en.wikipedia.org/wiki/Lockheed_C-130_Hercules;Lockheed C-130 Hercules
Lockheed HC-130J;United States;SAR / transport;;20;19 on order;Transport;https://en.wikipedia.org/wiki/Lockheed_HC-130#HC-130J;Lockheed HC-130
Lockheed HC-130P/N;United States;SAR / transport;;9;;Transport;https://en.wikipedia.org/wiki/Lockheed_HC-130#USAF_HC-130P/N_Combat_King;Lockheed HC-130
Beechcraft 1900;United States;transport;C-12J;3;;Transport;https://en.wikipedia.org/wiki/Beechcraft_1900;Beechcraft 1900
Cessna 208;United States;transport / utility;;2;;Transport;https://en.wikipedia.org/wiki/Cessna_208_Caravan;Cessna 208 Caravan
Pilatus PC-12;Switzerland;transport / utility;U-28A;15;;Transport;https://en.wikipedia.org/wiki/Pilatus_PC-12;Pilatus PC-12
DHC-6 Twin Otter;Canada;utility transport;;1;STOL capable aircraft;Transport;https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-6_Twin_Otter;De Havilland Canada DHC-6 Twin Otter
M28 Skytruck;Poland;transport;C-145A;5;;Transport;https://en.wikipedia.org/wiki/PZL_M28_Skytruck;PZL M28 Skytruck
Beechcraft C-12;United States;utility / transport;;26;;Transport;https://en.wikipedia.org/wiki/Beechcraft_C-12_Huron;Beechcraft C-12 Huron
Dornier 328;Germany;transport;;20;;Transport;https://en.wikipedia.org/wiki/Dornier_328;Dornier 328
Boeing VC-25;United States;Presidential transport;;2;;Transport;https://en.wikipedia.org/wiki/Boeing_VC-25;Boeing VC-25
Boeing C-32;United States;VIP transport;;4;;Transport;https://en.wikipedia.org/wiki/Boeing_C-32;Boeing C-32
Boeing C-40;United States;VIP transport;C-40B/C;12;;Transport;https://en.wikipedia.org/wiki/Boeing_C-40_Clipper;Boeing C-40 Clipper
Gulfstream IV;United States;VIP transport;;1;;Transport;https://en.wikipedia.org/wiki/Gulfstream_IV;Gulfstream IV
Learjet 35;United States;VIP transport;C-21A;23;;Transport;https://en.wikipedia.org/wiki/Learjet_35;Learjet 35
Bell UH-1N;United States;utility;;64;;Helicopter;https://en.wikipedia.org/wiki/Bell_UH-1N_Twin_Huey;Bell UH-1N Twin Huey
V-22 Osprey;United States;CSAR;CV-22B;44;6 on order;Helicopter;https://en.wikipedia.org/wiki/Bell_Boeing_V-22_Osprey;Bell Boeing V-22 Osprey
Sikorsky HH-60;United States;CSAR;HH-60G/U/W;99;;Helicopter;https://en.wikipedia.org/wiki/Sikorsky_HH-60_Pave_Hawk;Sikorsky HH-60 Pave Hawk
AgustaWestland AW139;Italy;utility;MH-139;;Bell UH-1N replacement – 84 on order;Helicopter;https://en.wikipedia.org/wiki/AgustaWestland_AW139;AgustaWestland AW139
Bell TH-1;United States;rotorcraft trainer;UH-1H;38;;Trainer Aircraft;https://en.wikipedia.org/wiki/Bell_UH-1_Iroquois;Bell UH-1 Iroquois
T-38 Talon;United States;jet trainer;T-38A/C;501;;Trainer Aircraft;https://en.wikipedia.org/wiki/Northrop_T-38_Talon;Northrop T-38 Talon
T-6 Texan II;United States;advanced trainer;T-6A;447;;Trainer Aircraft;https://en.wikipedia.org/wiki/Beechcraft_T-6_Texan_II;Beechcraft T-6 Texan II
T-1 Jayhawk;United States|;multi-engine trainer;;178;;Trainer Aircraft;https://en.wikipedia.org/wiki/Raytheon_T-1_Jayhawk;Raytheon T-1 Jayhawk
Boeing TC-135;United States;multi-engine trainer;;3;;Trainer Aircraft;https://en.wikipedia.org/wiki/Boeing_RC-135;Boeing RC-135
Diamond DA20;Austria;trainer;;54;contracted by DOSS Aviation;Trainer Aircraft;https://en.wikipedia.org/wiki/Diamond_DA20;Diamond DA20
A Embraer EMB 314;Brazil;trainer;;11;7 on order;Trainer Aircraft;https://en.wikipedia.org/wiki/Embraer_EMB_314_Super_Tucano;Embraer EMB 314 Super Tucano
