Aircraft;Origin;Type;Variant;In service;Notes;Category;Wikipedia URL;Title;Manufacturer;Image URL
Boeing E-4;United States;command and control;E-4B;4;;AWACS;https://en.wikipedia.org/wiki/Boeing_E-4;Boeing E-4;Boeing;//upload.wikimedia.org/wikipedia/commons/thumb/d/dc/US_Air_force_E-4B.jpg/300px-US_Air_force_E-4B.jpg
Boeing E-3;United States;AWACS;E-3B/C/G;31;;AWACS;https://en.wikipedia.org/wiki/Boeing_E-3_Sentry;Boeing E-3 Sentry;Boeing Defense, Space & Security;//upload.wikimedia.org/wikipedia/commons/thumb/1/1b/E-3_Sentry_exercise_Green_Flag_2012_%28Cropped%29.jpg/300px-E-3_Sentry_exercise_Green_Flag_2012_%28Cropped%29.jpg
Global Express;Canada;command and control / BACN;E-11A;4;;AWACS;https://en.wikipedia.org/wiki/Bombardier_Global_Express;Bombardier Global Express;Bombardier Aviation;//upload.wikimedia.org/wikipedia/commons/thumb/c/cb/2010-07-08_BD700_Tyrolean_OE-IGS_EDDF_03.jpg/300px-2010-07-08_BD700_Tyrolean_OE-IGS_EDDF_03.jpg
EC-130H Compass Call;United States;radar jamming / SEAD;;15;;Electronic Warfare;https://en.wikipedia.org/wiki/Lockheed_EC-130H_Compass_Call;Lockheed EC-130H Compass Call;Lockheed Corporation;//upload.wikimedia.org/wikipedia/commons/thumb/2/2f/EC-130H_41st_EWS_taking_off_Davis-Monthan_AFB_%28cropped%29.jpg/300px-EC-130H_41st_EWS_taking_off_Davis-Monthan_AFB_%28cropped%29.jpg
EC-130 Commando Solo;United States;radar jamming / SEAD;EC-130J;7;;Electronic Warfare;https://en.wikipedia.org/wiki/Lockheed_EC-130;Lockheed EC-130;Lockheed Corporation;//upload.wikimedia.org/wikipedia/commons/thumb/a/a7/EC-130J_Commando_Solo.JPG/300px-EC-130J_Commando_Solo.JPG
Falcon 20;France;SIGINT / ELINT;;2;;Reconnaissance;https://en.wikipedia.org/wiki/Falcon_20;Falcon 20;Dassault Aviation;//upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Dassault_Falcon_20E_Belgium_-_Air_Force%2C_LUX_Luxembourg_%28Findel%29%2C_Luxembourg_PP1278001849.jpg/300px-Dassault_Falcon_20E_Belgium_-_Air_Force%2C_LUX_Luxembourg_%28Findel%29%2C_Luxembourg_PP1278001849.jpg
Lockheed U-2;United States;high altitude  reconnaissance;U-2S;31;four TU-2S’s provide training;Reconnaissance;https://en.wikipedia.org/wiki/Lockheed_U-2;Lockheed U-2;Lockheed Corporation;//upload.wikimedia.org/wikipedia/commons/thumb/9/95/Usaf.u2.750pix.jpg/300px-Usaf.u2.750pix.jpg
RC-26 Metro;United States;SIGINT /  surveillance;;11;;Reconnaissance;https://en.wikipedia.org/wiki/Fairchild_C-26_Metroliner;Fairchild C-26 Metroliner;Fairchild Aircraft;//upload.wikimedia.org/wikipedia/commons/thumb/2/20/Metroliner_C-26.jpg/300px-Metroliner_C-26.jpg
E-8 Joint STARS;United States;AGS / ISTAR;E-8C;17;one used for training;Reconnaissance;https://en.wikipedia.org/wiki/Northrop_Grumman_E-8_Joint_STARS;Northrop Grumman E-8 Joint STARS;Grumman;//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/E-8_JSTARS_18061F484519-913.jpg/300px-E-8_JSTARS_18061F484519-913.jpg
CASA CN-235;Spain;SIGINT / ELINT;;5;;Reconnaissance;https://en.wikipedia.org/wiki/CASA/IPTN_CN-235;CASA/IPTN CN-235;Construcciones Aeronáuticas SA;//upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Festival_A%C3%A9reo_de_Vigo_2010_%284807526294%29.jpg/300px-Festival_A%C3%A9reo_de_Vigo_2010_%284807526294%29.jpg
Boeing OC-135B;United States;SIGINT /  surveillance;;2;;Reconnaissance;https://en.wikipedia.org/wiki/Boeing_OC-135B_Open_Skies;Boeing OC-135B Open Skies;Boeing;//upload.wikimedia.org/wikipedia/commons/thumb/6/69/Oc-135_xxl.jpg/300px-Oc-135_xxl.jpg
Bombardier Dash 8;Canada;SIGINT / ELINT;;6;;Reconnaissance;https://en.wikipedia.org/wiki/Bombardier_Dash_8;Bombardier Dash 8;De Havilland Canada;//upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Airberlin_Q400_%28cropped%29.jpg/300px-Airberlin_Q400_%28cropped%29.jpg
DHC-6 Twin Otter;Canada;SIGINT / ELINT;;1;;Reconnaissance;https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-6_Twin_Otter;De Havilland Canada DHC-6 Twin Otter;De Havilland Canada;//upload.wikimedia.org/wikipedia/commons/thumb/2/20/WinAir_De_Havilland_Canada_DHC-6-300_Twin_Otter_Breidenstein.jpg/300px-WinAir_De_Havilland_Canada_DHC-6-300_Twin_Otter_Breidenstein.jpg
Beechcraft MC-12;United States;SIGINT /  surveillance;W;42;;Reconnaissance;https://en.wikipedia.org/wiki/Beechcraft_C-12_Huron;Beechcraft C-12 Huron;Beechcraft;//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/U.S._Marine_Corps_C-12W.jpg/300px-U.S._Marine_Corps_C-12W.jpg
Boeing KC-135;United States;aerial refueling;KC-135R/T;397;;Tanker;https://en.wikipedia.org/wiki/Boeing_KC-135_Stratotanker;Boeing KC-135 Stratotanker;Boeing;//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/F-15C_Eagle_from_the_67th_Fighter_Squadron_at_Kadena_AB_is_refueled_by_a_KC-135R_Stratotanker_from_the_909th_Air_Refueling_Squadron_.jpg/300px-F-15C_Eagle_from_the_67th_Fighter_Squadron_at_Kadena_AB_is_refueled_by_a_KC-135R_Stratotanker_from_the_909th_Air_Refueling_Squadron_.jpg
KC-10 Extender;United States;aerial refueling;;58;;Tanker;https://en.wikipedia.org/wiki/McDonnell_Douglas_KC-10_Extender;McDonnell Douglas KC-10 Extender;McDonnell Douglas;//upload.wikimedia.org/wikipedia/commons/thumb/b/b9/KC-10_Extender_%282151957820%29.jpg/300px-KC-10_Extender_%282151957820%29.jpg
KC-46 Pegasus;United States;aerial refueling;;12;52 on order;Tanker;https://en.wikipedia.org/wiki/Boeing_KC-46_Pegasus;Boeing KC-46 Pegasus;Boeing Defense, Space & Security;//upload.wikimedia.org/wikipedia/commons/thumb/7/78/KC-46_Pegasus_prepares_to_refuel_C-17_%28cropped%29.jpg/300px-KC-46_Pegasus_prepares_to_refuel_C-17_%28cropped%29.jpg
Lockheed Martin KC-130;United States;aerial refueling / transport;H/J/P;60;39 are the KC-130J variant - 30 on order;Tanker;https://en.wikipedia.org/wiki/Lockheed_Martin_KC-130;Lockheed Martin KC-130;Lockheed Corporation;//upload.wikimedia.org/wikipedia/commons/thumb/b/b8/KC-130J_Special-Purpose_Marine_Air-Ground_Task_Force_Crisis_Response.jpg/300px-KC-130J_Special-Purpose_Marine_Air-Ground_Task_Force_Crisis_Response.jpg
C-5 Galaxy;United States;strategic airlifter;C-5M;52;;Transport;https://en.wikipedia.org/wiki/Lockheed_C-5_Galaxy;Lockheed C-5 Galaxy;Lockheed Corporation;//upload.wikimedia.org/wikipedia/commons/thumb/b/b2/USAF_C-5_Galaxy_in_flight.jpg/300px-USAF_C-5_Galaxy_in_flight.jpg
Boeing C-17;United States;strategic airlifter;;222;;Transport;https://en.wikipedia.org/wiki/Boeing_C-17_Globemaster_III;Boeing C-17 Globemaster III;McDonnell Douglas;//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/C-17_test_sortie.jpg/300px-C-17_test_sortie.jpg
C-130J Super Hercules;United States;tactical airlifter;C-130J;115;35 on order;Transport;https://en.wikipedia.org/wiki/C-130J;C-130J;Lockheed Martin;//upload.wikimedia.org/wikipedia/commons/thumb/a/a1/C-130J_135th_AS_Maryland_ANG_in_flight.jpg/300px-C-130J_135th_AS_Maryland_ANG_in_flight.jpg
C-130 Hercules;United States;transport;C-130H;196;ten are the LC-130 variant;Transport;https://en.wikipedia.org/wiki/Lockheed_C-130_Hercules;Lockheed C-130 Hercules;Lockheed Corporation;//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Lockheed_C-130_Hercules.jpg/300px-Lockheed_C-130_Hercules.jpg
Lockheed HC-130J;United States;SAR / transport;;20;19 on order;Transport;https://en.wikipedia.org/wiki/Lockheed_HC-130#HC-130J;Lockheed HC-130;Lockheed Corporation;//upload.wikimedia.org/wikipedia/commons/thumb/6/65/US_Airforce_HC-130.jpg/300px-US_Airforce_HC-130.jpg
Lockheed HC-130P/N;United States;SAR / transport;;9;;Transport;https://en.wikipedia.org/wiki/Lockheed_HC-130#USAF_HC-130P/N_Combat_King;Lockheed HC-130;Lockheed Corporation;//upload.wikimedia.org/wikipedia/commons/thumb/6/65/US_Airforce_HC-130.jpg/300px-US_Airforce_HC-130.jpg
Beechcraft 1900;United States;transport;C-12J;3;;Transport;https://en.wikipedia.org/wiki/Beechcraft_1900;Beechcraft 1900;Beechcraft;//upload.wikimedia.org/wikipedia/commons/thumb/7/79/ContinentalConnection.jpg/300px-ContinentalConnection.jpg
Cessna 208;United States;transport / utility;;2;;Transport;https://en.wikipedia.org/wiki/Cessna_208_Caravan;Cessna 208 Caravan;Cessna;//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Iraqi_Air_Force_Cessna_208_Caravan_training_mission.jpg/300px-Iraqi_Air_Force_Cessna_208_Caravan_training_mission.jpg
Pilatus PC-12;Switzerland;transport / utility;U-28A;15;;Transport;https://en.wikipedia.org/wiki/Pilatus_PC-12;Pilatus PC-12;Pilatus Aircraft;//upload.wikimedia.org/wikipedia/commons/thumb/8/89/Pilatus_PC-12-45%2C_Royal_Flying_Doctor_Service_AN0636290.jpg/300px-Pilatus_PC-12-45%2C_Royal_Flying_Doctor_Service_AN0636290.jpg
DHC-6 Twin Otter;Canada;utility transport;;1;STOL capable aircraft;Transport;https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-6_Twin_Otter;De Havilland Canada DHC-6 Twin Otter;De Havilland Canada;//upload.wikimedia.org/wikipedia/commons/thumb/2/20/WinAir_De_Havilland_Canada_DHC-6-300_Twin_Otter_Breidenstein.jpg/300px-WinAir_De_Havilland_Canada_DHC-6-300_Twin_Otter_Breidenstein.jpg
M28 Skytruck;Poland;transport;C-145A;5;;Transport;https://en.wikipedia.org/wiki/PZL_M28_Skytruck;PZL M28 Skytruck;PZL Mielec;//upload.wikimedia.org/wikipedia/commons/thumb/9/91/M28_Skytruck_G%C3%B3raszka_2_%28cropped%29.JPG/300px-M28_Skytruck_G%C3%B3raszka_2_%28cropped%29.JPG
Beechcraft C-12;United States;utility / transport;;26;;Transport;https://en.wikipedia.org/wiki/Beechcraft_C-12_Huron;Beechcraft C-12 Huron;Beechcraft;//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/U.S._Marine_Corps_C-12W.jpg/300px-U.S._Marine_Corps_C-12W.jpg
Dornier 328;Germany;transport;;20;;Transport;https://en.wikipedia.org/wiki/Dornier_328;Dornier 328;Dornier Flugzeugwerke;//upload.wikimedia.org/wikipedia/commons/thumb/4/46/Sun-Air_Do-328.jpg/300px-Sun-Air_Do-328.jpg
Boeing VC-25;United States;Presidential transport;;2;;Transport;https://en.wikipedia.org/wiki/Boeing_VC-25;Boeing VC-25;Boeing;//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Air_Force_One_over_Mt._Rushmore.jpg/300px-Air_Force_One_over_Mt._Rushmore.jpg
Boeing C-32;United States;VIP transport;;4;;Transport;https://en.wikipedia.org/wiki/Boeing_C-32;Boeing C-32;Boeing;//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/USAF_C-32A.jpg/300px-USAF_C-32A.jpg
Boeing C-40;United States;VIP transport;C-40B/C;12;;Transport;https://en.wikipedia.org/wiki/Boeing_C-40_Clipper;Boeing C-40 Clipper;Boeing;//upload.wikimedia.org/wikipedia/commons/thumb/5/56/C-40A_Clipper_VR-59_041127-N-4518M-007_US_Navy.jpg/300px-C-40A_Clipper_VR-59_041127-N-4518M-007_US_Navy.jpg
Gulfstream IV;United States;VIP transport;;1;;Transport;https://en.wikipedia.org/wiki/Gulfstream_IV;Gulfstream IV;Gulfstream Aerospace;//upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Gulfstream_IV_RNLAF.jpg/300px-Gulfstream_IV_RNLAF.jpg
Learjet 35;United States;VIP transport;C-21A;23;;Transport;https://en.wikipedia.org/wiki/Learjet_35;Learjet 35;Learjet;//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Learjet_35_%288738280921%29.jpg/300px-Learjet_35_%288738280921%29.jpg
Bell UH-1N;United States;utility;;64;;Helicopter;https://en.wikipedia.org/wiki/Bell_UH-1N_Twin_Huey;Bell UH-1N Twin Huey;Bell Helicopter;//upload.wikimedia.org/wikipedia/commons/thumb/9/9e/120131-N-XK513-120_Sailor_directs_a_UH-1N_Huey_helicopter_from_%28VMM%29_261_%28cropped%29.jpg/300px-120131-N-XK513-120_Sailor_directs_a_UH-1N_Huey_helicopter_from_%28VMM%29_261_%28cropped%29.jpg
V-22 Osprey;United States;CSAR;CV-22B;44;6 on order;Helicopter;https://en.wikipedia.org/wiki/Bell_Boeing_V-22_Osprey;Bell Boeing V-22 Osprey;Bell Helicopter;//upload.wikimedia.org/wikipedia/commons/thumb/e/e3/MV-22_mcas_Miramar_2014.JPG/300px-MV-22_mcas_Miramar_2014.JPG
Sikorsky HH-60;United States;CSAR;HH-60G/U/W;99;;Helicopter;https://en.wikipedia.org/wiki/Sikorsky_HH-60_Pave_Hawk;Sikorsky HH-60 Pave Hawk;Sikorsky Aircraft Corporation;//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/HH60_Pave_Hawk_-_American_Air_Day_Duxford_%287125012961%29.jpg/300px-HH60_Pave_Hawk_-_American_Air_Day_Duxford_%287125012961%29.jpg
AgustaWestland AW139;Italy;utility;MH-139;;Bell UH-1N replacement – 84 on order;Helicopter;https://en.wikipedia.org/wiki/AgustaWestland_AW139;AgustaWestland AW139;AgustaWestland;//upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Italian_Helicopter_HH139%2C_Trident_Juncture_15_%28cropped%29.jpg/300px-Italian_Helicopter_HH139%2C_Trident_Juncture_15_%28cropped%29.jpg
Bell TH-1;United States;rotorcraft trainer;UH-1H;38;;Trainer Aircraft;https://en.wikipedia.org/wiki/Bell_UH-1_Iroquois;Bell UH-1 Iroquois;Bell Helicopter;//upload.wikimedia.org/wikipedia/commons/thumb/e/ee/UH1_Huey_-_Fly_Navy_2017_%28cropped%29.jpg/300px-UH1_Huey_-_Fly_Navy_2017_%28cropped%29.jpg
T-38 Talon;United States;jet trainer;T-38A/C;501;;Trainer Aircraft;https://en.wikipedia.org/wiki/Northrop_T-38_Talon;Northrop T-38 Talon;Northrop Corporation;//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/T-38_Talon_over_Edwards_AFB.jpg/300px-T-38_Talon_over_Edwards_AFB.jpg
T-6 Texan II;United States;advanced trainer;T-6A;447;;Trainer Aircraft;https://en.wikipedia.org/wiki/Beechcraft_T-6_Texan_II;Beechcraft T-6 Texan II;Textron Aviation;//upload.wikimedia.org/wikipedia/commons/thumb/d/d8/T-6A_Texan_II.jpg/300px-T-6A_Texan_II.jpg
T-1 Jayhawk;United States|;multi-engine trainer;;178;;Trainer Aircraft;https://en.wikipedia.org/wiki/Raytheon_T-1_Jayhawk;Raytheon T-1 Jayhawk;Raytheon;//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/T-1A_Jayhawk.jpg/300px-T-1A_Jayhawk.jpg
Boeing TC-135;United States;multi-engine trainer;;3;;Trainer Aircraft;https://en.wikipedia.org/wiki/Boeing_RC-135;Boeing RC-135;Boeing;//upload.wikimedia.org/wikipedia/commons/thumb/4/49/RC-135_Rivet_Joint_in_flight.jpg/300px-RC-135_Rivet_Joint_in_flight.jpg
Diamond DA20;Austria;trainer;;54;contracted by DOSS Aviation;Trainer Aircraft;https://en.wikipedia.org/wiki/Diamond_DA20;Diamond DA20;Diamond Aircraft Industries;//upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Diamond_DA20_%288735090139%29.jpg/300px-Diamond_DA20_%288735090139%29.jpg
A Embraer EMB 314;Brazil;trainer;;11;7 on order;Trainer Aircraft;https://en.wikipedia.org/wiki/Embraer_EMB_314_Super_Tucano;Embraer EMB 314 Super Tucano;Embraer;//upload.wikimedia.org/wikipedia/commons/thumb/c/c9/A-29_Over_Afghanistan.jpg/300px-A-29_Over_Afghanistan.jpg
